Release 11.1 - par L.33 (lin)
Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

Fri Apr  9 15:26:36 2010


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       leon3mp.ncd
OUTPUT FILE:      leon3mp_pad.txt
PART TYPE:        xc3s1600e
SPEED GRADE:      -4
PACKAGE:          fg320

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                 |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|G14       |ps2clk     |IOB      |IO_L20P_1                |BIDIR        |LVCMOS33   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|G15       |vid_b      |IOB      |IO_L18P_1                |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|G16       |           |DIFFS    |IO_L18N_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|G17       |           |         |VCCAUX                   |             |           |              |          |         |           |         |2.5    |          |           |                |
|G18       |           |IBUF     |IP                       |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|H1        |ddr_ad(7)  |IOB      |IO_L10N_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H2        |ddr_ad(8)  |IOB      |IO_L10P_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H3        |ddr_ad(6)  |IOB      |IO_L09N_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H4        |ddr_ad(5)  |IOB      |IO_L09P_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H5        |ddr_dq(15) |IOB      |IO_L08N_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|H6        |ddr_dq(14) |IOB      |IO_L08P_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|H7        |           |         |VCCO_3                   |             |           |3             |          |         |           |         |2.50   |          |           |                |
|H8        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|H9        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|H10       |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|H11       |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|H12       |           |         |VCCO_1                   |             |           |1             |          |         |           |         |3.30   |          |           |                |
|H13       |dsubre     |IBUF     |IP                       |INPUT        |LVTTL      |1             |          |         |PULLDOWN   |IFD      |       |LOCATED   |YES        |NONE            |
|H14       |vid_r      |IOB      |IO_L17P_1                |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H15       |vid_g      |IOB      |IO_L17N_1                |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H16       |           |DIFFM    |IO_L16P_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|H17       |address(0) |IOB      |IO_L16N_1/A0             |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|H18       |           |IBUF     |IP/VREF_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|J1        |ddr_dm(1)  |IOB      |IO_L12P_3/LHCLK2         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J2        |ddr_dm(0)  |IOB      |IO_L12N_3/LHCLK3/IRDY2   |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J3        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|J4        |ddr_clk0b  |IOB      |IO_L11N_3/LHCLK1         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J5        |ddr_clk0   |IOB      |IO_L11P_3/LHCLK0         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J6        |           |IBUF     |IP/VREF_3                |VREF Required|           |3             |          |         |           |         |1.25   |PROHIBITED|           |                |
|J7        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|J8        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|J11       |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|J12       |address(2) |IOB      |IO_L15P_1/A2             |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J13       |address(1) |IOB      |IO_L15N_1/A1             |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J14       |address(3) |IOB      |IO_L14N_1/A3/RHCLK7      |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J15       |address(4) |IOB      |IO_L14P_1/A4/RHCLK6      |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J16       |address(5) |IOB      |IO_L13N_1/A5/RHCLK5      |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J17       |address(6) |IOB      |IO_L13P_1/A6/RHCLK4/IRDY1|OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|J18       |           |         |VCCO_1                   |             |           |1             |          |         |           |         |3.30   |          |           |                |
|K1        |           |         |VCCO_3                   |             |           |3             |          |         |           |         |2.50   |          |           |                |
|K2        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|K3        |ddr_cke0   |IOB      |IO_L13P_3/LHCLK4/TRDY2   |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K4        |ddr_cs0b   |IOB      |IO_L13N_3/LHCLK5         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K5        |ddr_ba(0)  |IOB      |IO_L14N_3/LHCLK7         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K6        |ddr_ba(1)  |IOB      |IO_L14P_3/LHCLK6         |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K7        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|K8        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|K11       |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|K12       |address(9) |IOB      |IO_L11N_1/A9/RHCLK1      |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K13       |address(10)|IOB      |IO_L11P_1/A10/RHCLK0     |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|K14       |address(7) |IOB      |IO_L12N_1/A7/RHCLK3/TRDY1|OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
